paper_id,reviewer,Human_Actionability,Human_Clarity_and_Readability,Human_Comprehensiveness,Human_Constructiveness,Human_Factuality,Human_Fairness,Human_Objectivity,Human_Overall_Quality,Human_Politeness,Human_Relevance_Alignment,Human_Sentiment_Polarity,Human_Usage_of_Technical_Terms,Human_Vagueness,Qwen_Actionability,Qwen_Clarity_and_Readability,Qwen_Comprehensiveness,Qwen_Constructiveness,Qwen_Factuality,Qwen_Fairness,Qwen_Objectivity,Qwen_Overall_Quality,Qwen_Politeness,Qwen_Relevance_Alignment,Qwen_Sentiment_Polarity,Qwen_Usage_of_Technical_Terms,Qwen_Vagueness,Llama_Actionability,Llama_Clarity_and_Readability,Llama_Comprehensiveness,Llama_Constructiveness,Llama_Factuality,Llama_Fairness,Llama_Objectivity,Llama_Overall_Quality,Llama_Politeness,Llama_Relevance_Alignment,Llama_Sentiment_Polarity,Llama_Usage_of_Technical_Terms,Llama_Vagueness,GPT_Actionability,GPT_Clarity_and_Readability,GPT_Comprehensiveness,GPT_Constructiveness,GPT_Factuality,GPT_Fairness,GPT_Objectivity,GPT_Overall_Quality,GPT_Politeness,GPT_Relevance_Alignment,GPT_Sentiment_Polarity,GPT_Usage_of_Technical_Terms,GPT_Vagueness,Phi_Actionability,Phi_Clarity_and_Readability,Phi_Comprehensiveness,Phi_Constructiveness,Phi_Factuality,Phi_Fairness,Phi_Objectivity,Phi_Overall_Quality,Phi_Politeness,Phi_Relevance_Alignment,Phi_Sentiment_Polarity,Phi_Usage_of_Technical_Terms,Phi_Vagueness
166,Reviewer-7mFW,4,4,2,3,factual,4,4,67,polite,4,neutral,4,high,4,4,4,4,partially factual,4,4,75,polite,5,neutral,4,moderate,3.0,4.0,4.0,4.0,partially factual,4.0,4.0,80.0,polite,5.0,neutral,3.0,low,3,3,3,3,partially factual,3,3,60,neutral,4,neutral,4,moderate,3,4,3,4,partially factual,3,4,75,polite,5,neutral,4,low
166,Reviewer-FAWm,5,4,4,5,factual,4,4,86,polite,5,neutral,4,none,4,5,4,4,factual,5,5,88,polite,5,neutral,5,none,3.0,5.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,5.0,none,4,4,4,4,factual,4,4,80,polite,5,neutral,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
166,Reviewer-kjkr,5,5,3,5,factual,4,4,75,polite,4,neutral,4,low,4,5,4,4,partially factual,4,3,80,polite,5,negative,5,moderate,2.0,5.0,4.0,3.0,partially factual,3.0,4.0,70.0,polite,4.0,neutral,3.0,low,3,4,4,3,factual,4,4,75,polite,5,neutral,5,low,4,4,4,4,partially factual,4,3,78,neutral,5,negative,5,low
100,Enrico-Daga,4,4,3,4,factual,5,4,80,polite,4,positive,2,none,4,5,4,4,factual,4,4,85,polite,5,positive,4,low,3.0,5.0,5.0,4.0,factual,5.0,5.0,80.0,polite,5.0,positive,4.0,none,4,5,4,4,factual,5,4,85,polite,5,positive,4,low,3,4,4,4,factual,4,4,85,polite,5,positive,3,low
100,Julia-Bosque,4,4,5,4,factual,4,4,87,polite,5,positive,4,low,5,5,5,5,factual,5,5,100,polite,5,positive,5,none,3.0,4.0,5.0,4.0,factual,5.0,5.0,80.0,polite,5.0,positive,4.0,none,4,5,5,5,factual,5,5,5,polite,5,positive,5,none,4,4,5,5,factual,5,5,95,polite,5,positive,4,low
100,Thierry-Declerck,4,4,3,4,partially factual,4,4,60,polite,3,positive,1,high,5,5,2,5,factual,5,5,60,polite,5,neutral,2,low,3.0,5.0,5.0,4.0,factual,5.0,5.0,80.0,polite,5.0,neutral,4.0,none,2,4,2,2,factual,4,3,3,polite,3,positive,1,low,1,4,1,1,factual,3,2,35,polite,2,positive,0,high
74,Reviewer-itVg,2,4,3,4,factual,4,4,85,polite,4,neutral,3,none,4,5,4,4,partially factual,5,5,75,5,5,neutral,5,low,2.0,5.0,4.0,3.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,none,3,4,4,3,factual,4,4,75,polite,5,neutral,5,low,2,4,3,4,partially factual,3,3,75,polite,4,neutral,4,low
74,Reviewer-bNPg,3,3,4,4,factual,4,4,90,polite,4,neutral,3,none,5,4,4,5,partially factual,4,4,65,polite,5,negative,5,moderate,2.0,3.0,4.0,3.0,partially factual,4.0,4.0,60.0,polite,4.0,neutral,3.0,low,3,3,4,3,factual,4,4,70,neutral,5,neutral,4,moderate,2,2,3,4,partially factual,3,3,65,polite,4,neutral,4,low
194,Reviewer-GDNX,3,4,3,3,factual,4,4,80,neutral,4,neutral,5,moderate,4,4,4,4,partially factual,4,4,85,polite,5,positive,5,moderate,2.0,4.0,4.0,4.0,factual,3.0,4.0,80.0,polite,5.0,positive,5.0,none,3,4,4,4,factual,4,4,85,polite,5,positive,5,low,3,4,4,4,factual,4,4,85,polite,5,positive,5,low
194,Reviewer-j1mL,4,3,4,4,partially factual,3,4,70,polite,4,neutral,4,moderate,4,5,4,4,factual,4,5,85,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,3.0,4.0,80.0,polite,5.0,positive,5.0,none,4,4,4,4,factual,4,4,80,polite,5,neutral,4,low,4,4,3,4,partially factual,3,4,85,polite,5,neutral,4,low
